iter	Logloss
0	0.692227459
1	0.6909547474
2	0.6900804105
3	0.6891983443
4	0.6881912778
5	0.687603055
6	0.6866703784
7	0.6857335953
8	0.6852667212
9	0.6843842189
10	0.6831754553
11	0.6820963225
12	0.6813452822
13	0.6807288626
14	0.679873215
15	0.6790393728
16	0.6782036284
17	0.6775546022
18	0.6766474972
19	0.675916306
20	0.6753127569
21	0.6746099744
22	0.6737202971
23	0.6730341905
24	0.6723412162
25	0.6716036776
26	0.6709958092
27	0.6703255726
28	0.6696252287
29	0.6690545033
30	0.6682454219
31	0.6675005752
32	0.6668037147
33	0.6661963001
34	0.6657781874
35	0.6648236367
36	0.6642022393
37	0.6633738273
38	0.6628283826
39	0.6621883834
40	0.6615459563
41	0.6610788259
42	0.6603994674
43	0.6599710345
44	0.6592222581
45	0.6586722461
46	0.658264982
47	0.657648739
48	0.6571484154
49	0.6564996631
50	0.6558153245
51	0.6552310934
52	0.6543179531
53	0.653699787
54	0.6531092387
55	0.6525645656
56	0.6521039213
57	0.6516215409
58	0.6511247551
59	0.6505894015
60	0.6497867396
61	0.6490589181
62	0.6485890381
63	0.6480220537
64	0.6474576719
65	0.6469427016
66	0.6461057346
67	0.6456017652
68	0.6451639141
69	0.6444953722
70	0.6438548446
71	0.6433283337
72	0.6429288673
73	0.6423409865
74	0.6416909893
75	0.6408902447
76	0.6404107799
77	0.6400817341
78	0.6394137306
79	0.6385742625
80	0.6380307991
81	0.6374459296
82	0.6367831731
83	0.6361205642
84	0.6353915265
85	0.6347579895
86	0.6342051758
87	0.6336611044
88	0.633103476
89	0.6327183814
90	0.6321335203
91	0.6315016305
92	0.6309738089
93	0.6305641945
94	0.6301557771
95	0.6295738205
96	0.6291080062
97	0.6286364138
98	0.6278635713
99	0.6271912056
100	0.6267980599
101	0.6262931941
102	0.6257941979
103	0.6254371879
104	0.6250276086
105	0.6243246653
106	0.6236675997
107	0.6231011225
108	0.6224361502
109	0.6220055999
110	0.6214272748
111	0.6210801583
112	0.6207042393
113	0.6201463318
114	0.6196995579
115	0.6191512467
116	0.618484465
117	0.6181220491
118	0.6176205887
119	0.6169981611
120	0.6163324621
121	0.6158202845
122	0.6154244725
123	0.6149465114
124	0.6144394859
125	0.6139287063
126	0.6133051436
127	0.6128963683
128	0.6124115408
129	0.6119488609
130	0.6114882814
131	0.6109524255
132	0.6105294295
133	0.610099589
134	0.6095740809
135	0.609263505
136	0.6088533866
137	0.6083308482
138	0.6077862346
139	0.6073246656
140	0.6068895563
141	0.6062550149
142	0.6058648263
143	0.6051784461
144	0.604637661
145	0.6041471325
146	0.6038733731
147	0.6032361616
148	0.6026164527
149	0.6021285443
150	0.6013895783
151	0.600660695
152	0.6001972768
153	0.5997526811
154	0.5990781588
155	0.5986580821
156	0.5980108721
157	0.5976023931
158	0.5971247194
159	0.5964841457
160	0.5958880335
161	0.5953843053
162	0.5948123038
163	0.5942205759
164	0.5938314594
165	0.5934143602
166	0.5927990901
167	0.5921161789
168	0.5914879359
169	0.5910756102
170	0.5908014133
171	0.5903111871
172	0.5897078703
173	0.5892622547
174	0.588784725
175	0.5883543483
176	0.5878043237
177	0.5869571768
178	0.5864342318
179	0.585872604
180	0.5853635383
181	0.5847853306
182	0.5843988066
183	0.5839520232
184	0.583510403
185	0.5830422748
186	0.5824412228
187	0.5818723755
188	0.5813686913
189	0.580865852
190	0.5804297956
191	0.5799216902
192	0.5790732343
193	0.5786757129
194	0.5780153657
195	0.5776574012
196	0.577251113
197	0.5768275201
198	0.5762777741
199	0.5756702183
