iter	Passed	Remaining
0	1	324
1	3	320
2	4	309
3	6	302
4	7	296
5	9	296
6	10	292
7	12	289
8	13	288
9	15	288
10	16	286
11	18	284
12	19	283
13	21	281
14	22	278
15	24	276
16	25	274
17	27	273
18	28	271
19	29	269
20	31	267
21	32	265
22	34	263
23	35	262
24	37	260
25	38	259
26	40	257
27	41	256
28	43	254
29	44	253
30	46	252
31	47	251
32	49	249
33	50	247
34	52	246
35	53	244
36	55	242
37	56	241
38	58	239
39	60	240
40	61	238
41	63	237
42	64	235
43	65	233
44	67	232
45	69	231
46	70	230
47	72	228
48	73	227
49	75	225
50	76	224
51	78	223
52	80	222
53	81	220
54	83	219
55	84	218
56	86	217
57	88	215
58	89	214
59	91	213
60	92	211
61	94	209
62	95	208
63	97	206
64	98	205
65	100	203
66	101	201
67	103	200
68	104	198
69	106	197
70	107	195
71	109	194
72	110	192
73	112	190
74	113	189
75	115	187
76	116	186
77	118	185
78	119	183
79	121	181
80	122	180
81	124	178
82	125	177
83	127	175
84	128	174
85	130	172
86	131	171
87	133	169
88	134	168
89	136	166
90	138	165
91	139	163
92	141	162
93	142	160
94	144	159
95	145	157
96	147	156
97	148	154
98	150	153
99	151	151
100	153	149
101	154	148
102	155	146
103	157	145
104	159	143
105	160	142
106	161	140
107	163	139
108	165	137
109	166	136
110	168	135
111	169	133
112	171	131
113	172	130
114	174	128
115	175	127
116	177	125
117	178	124
118	180	122
119	181	121
120	183	119
121	184	118
122	186	116
123	187	115
124	189	113
125	190	112
126	192	110
127	194	109
128	195	107
129	197	106
130	198	104
131	200	103
132	202	101
133	204	100
134	205	98
135	207	97
136	208	96
137	210	94
138	212	93
139	213	91
140	215	90
141	216	88
142	218	87
143	219	85
144	221	83
145	222	82
146	224	80
147	225	79
148	227	77
149	228	76
150	230	74
151	231	73
152	233	71
153	235	70
154	236	68
155	238	67
156	239	65
157	241	64
158	242	62
159	243	60
160	245	59
161	247	57
162	248	56
163	249	54
164	251	53
165	253	51
166	254	50
167	256	48
168	257	47
169	259	45
170	260	44
171	262	42
172	263	41
173	265	39
174	266	38
175	268	36
176	269	35
177	271	33
178	272	31
179	274	30
180	275	28
181	277	27
182	278	25
183	280	24
184	281	22
185	283	21
186	284	19
187	286	18
188	287	16
189	289	15
190	290	13
191	292	12
192	293	10
193	295	9
194	296	7
195	298	6
196	300	4
197	301	3
198	303	1
199	305	0
